file,PRODUCT_ID,alt_spice,alt_label,cenlat_spice,cenlat_label,cenlon_spice,cenlon_label,em_spice,em_label,in_spice,in_label,range_km,c1_lat,c1_lon,c2_lat,c2_lon,c3_lat,c3_lon,c4_lat,c4_lon,cenlat_mid,cenlon_mid,em_mid
n01_15km/n01a.map,JIR_IMG_RDR_2017033T114006_V02,115349.85725810246,115378.0,83.14664002484092,83.1502,305.7363820337901,305.733,16.52945562716228,16.5375,94.60530507026027,94.6048,117264.5830430749,83.18197792089416,352.96602849942445,80.5551474288664,339.88567127219966,79.80359211468166,276.4705183074571,82.16388146263671,262.5606434417126,57.65868401627346,132.88040339699444,66.23030198890648
n01_15km/n01b.map,JIR_IMG_RDR_2017033T114036_V02,114502.40623789058,114530.0,84.62307349280046,84.6256,303.78824095133416,303.785,18.333940907010685,18.3406,94.29914968821353,94.2988,116855.18007630197,84.23855006313144,2.4333548201870143,81.84272375301208,344.3443434694688,80.98861604685952,270.85386681489604,83.06903432378041,252.9145386728012,53.863103022219484,132.42793517444656,70.31858070230996
n01_15km/n01c.map,JIR_IMG_RDR_2017033T114107_V02,113654.23696624124,113681.0,86.1396132329802,86.1415,300.47447145464264,300.469,20.202871659145263,20.2087,93.98126846700808,93.981,116507.92115903957,85.0774049928212,16.2441407004966,83.08628031943186,350.78701381514077,82.10221559372366,263.45026380413884,83.75413460359111,240.4242223026567,48.837610109259714,131.96722802461355,75.6828913715474
n01_15km/n01d.map,JIR_IMG_RDR_2017033T114137_V02,112805.46602413132,112831.0,87.59712797871272,87.5983,293.58917275370754,293.58,22.015197914713795,22.0201,93.66942764682955,93.6692,116190.19297132945,85.51007847864467,33.76738456053839,84.16697779734187,359.71562789301106,83.03427606206591,254.1689394313383,84.09381250507887,226.09848658405434,40.43070592325823,131.4674357060894,84.53174908331012
n01_15km/n01e.map,JIR_IMG_RDR_2017033T114208_V02,111956.0434756127,111981.0,88.94026541176994,88.9404,268.4571488091833,268.449,23.835280424873826,23.8388,93.35418980419256,93.3542,115919.10070751038,85.44378041243039,52.94897674809257,85.03334530922862,12.402814834762825,83.74724694758426,242.43027009484425,84.04695385145212,210.94177375717288,nan,nan,nan
n01_15km/n01f.map,JIR_IMG_RDR_2017033T114238_V02,111105.97517412322,111130.0,88.98111451172628,88.9814,174.2268406038675,174.245,25.665244631881738,25.6678,93.03533441667898,93.0354,115695.90780879604,84.8856862918657,69.83377744227768,85.55159054675748,29.365340713541784,84.15500205401196,228.36710998651216,83.61193085757021,196.79834593787805,nan,nan,nan
n01_15km/n01g.map,JIR_IMG_RDR_2017033T114309_V02,110255.2951144983,110279.0,87.64918837855329,87.6508,147.366060601397,147.378,27.475137770208235,27.4761,92.71672845654717,92.717,115509.69095481694,83.97399482027888,82.36712663755041,85.5909115568438,48.441149836329835,84.189590556051,213.3516821319905,82.86315192197627,185.04239511572752,nan,nan,nan
n01_15km/n01h.map,JIR_IMG_RDR_2017033T114339_V02,109403.95388857978,109427.0,86.14518627646588,86.1476,140.09587758563845,140.102,29.330752202661806,29.3307,92.38850610662948,92.3889,115385.97103886493,82.80715049132962,91.38405433897742,85.12922700593126,66.19475787142028,83.83591469650995,198.78670726736172,81.85525773295254,175.54161482695298,nan,nan,nan
n01_15km/n01i.map,JIR_IMG_RDR_2017033T114410_V02,108551.98596568682,108574.0,84.598867521461,84.602,136.7263424827958,136.731,31.202742048346934,31.2017,92.05502765511626,92.0555,115315.36233235714,81.48340881728515,97.73261747810739,84.2725238844867,79.81280660762954,83.14201121853809,186.3282999446687,80.66633697358783,168.13151187813594,nan,nan,nan
n01_15km/n01j.map,JIR_IMG_RDR_2017033T114440_V02,107699.42617151445,107721.0,83.04710069061184,83.0516,134.72475305099223,134.729,33.06196154822546,33.0591,91.72096591327298,91.7217,115285.49635569571,80.07387136822602,102.2319298549313,83.1743184694419,89.34144379521346,82.20353166227379,176.4882969525313,79.3646576837519,162.39857760490077,nan,nan,nan
n01_15km/n01k.map,JIR_IMG_RDR_2017033T114511_V02,106846.2817098537,106867.0,81.49302747328522,81.4984,133.3421634370395,133.345,34.91020408588229,34.9063,91.38600714023988,91.3869,115296.16008548945,78.60806539677935,105.50931668968606,81.93489238152348,95.96707068316705,81.09955661971574,168.88179178469568,77.98465570647107,157.88205383403363,nan,nan,nan
n01_15km/n01l.map,JIR_IMG_RDR_2017033T114541_V02,105992.50408207352,106012.0,79.88661961749422,79.8931,132.27144374604393,132.274,36.817025893228724,36.8117,91.03906231875384,91.0402,115382.5226886354,77.05154689611877,108.02976610642465,80.56720822528673,100.79901345808433,79.84421655651734,162.82769165427354,76.49880791241974,154.1569601579031,nan,nan,nan
