product_id,orbit,start_time,native_version,metrics_ok,geo_ok,streak_index,saturation_frac,zero_frac,max_dn,bloom_flag,median_pixel_km,on_planet_frac,bore_lat,bore_lon_east,bore_emission,min_lat,max_lat,streak_index_red,saturation_frac_red,zero_frac_red,streak_index_green,saturation_frac_green,zero_frac_green,streak_index_blue,saturation_frac_blue,zero_frac_blue,cleared,decision_reason
JNCR_2017086_05C00100_V02,5.0,2017-03-27 07:50:12.208,2,True,True,0.0015674927075931787,0.0,0.09675079641990292,5180.0,False,67.8931825875039,0.31283710895361383,70.83760833740234,144.5543975830078,40.54677963256836,15.602747917175293,89.16175842285156,0.0014179389389722239,0.0,0.08997174605582525,0.0016934710755508173,0.0,0.0775561286407767,0.0014510975054922975,0.0,0.11815221101334952,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00104_V02,5.0,2017-03-27 08:13:12.699,2,True,True,0.001910789265626829,0.0,0.03093475045509709,4778.0,False,39.83882820564658,0.4456195099398983,78.8926010131836,141.47927856445312,23.091081619262695,25.92302703857422,89.80866241455078,0.002102398592510363,0.0,0.02866163531553398,0.0016265411434562248,0.0,0.02055758874393204,0.0017003265300138625,0.0,0.03626791944781553,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00105_V02,5.0,2017-03-27 08:20:12.296,2,True,True,0.0016533220673007947,0.0,0.030915788076456313,4778.0,False,31.484684323480316,0.48129045307443363,68.15009307861328,175.1759490966797,22.050580978393555,23.411760330200195,89.54057312011719,0.0020453584314900548,0.0,0.03106274651092233,0.001578197191150055,0.0,0.021700072057038833,0.0015288658319385024,0.0,0.03302061210558252,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00106_V02,5.0,2017-03-27 08:46:39.985,2,True,True,0.002212998926496601,0.0,0.014276300819174758,3972.0,False,4.371047573416481,0.6838408355398646,20.807634353637695,178.0118865966797,5.474419593811035,1.6866695880889893,41.29330825805664,0.0014263191520856601,0.0,0.011747193567961165,0.0018879947547544018,0.0,0.01414356416868932,0.0031248037352751184,0.0,0.015207827669902913,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00107_V02,5.0,2017-03-27 08:53:09.653,2,True,True,0.0020128009403415693,0.0,0.010341607251213593,3670.0,False,3.040219059102433,0.7210760517799353,3.6003832817077637,174.08648681640625,2.8960916996002197,-12.23464584350586,20.2827205657959,0.0019530637324515704,0.0,0.009182531856796116,0.0018628547830197447,0.0,0.009962359678398057,0.002306813936586296,0.0,0.011823043082524272,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00108_V02,5.0,2017-03-27 08:59:39.473,2,True,True,0.0031409233143577537,0.0,0.015129607858009708,3338.0,False,5.227723306239316,0.6596609296852015,-13.600995063781738,170.12188720703125,7.946314811706543,-34.31781005859375,7.738288402557373,0.0032861633323427353,0.0,0.013562841322815534,0.0031300965127233097,0.0,0.015743514866504854,0.0028506682775365543,0.0,0.01525049302184466,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00109_V02,5.0,2017-03-27 09:06:39.539,2,True,True,0.0010857156495924039,0.0,0.015203087075242719,2935.0,False,10.922091601307049,0.6158272653721683,-31.13858985900879,166.53009033203125,15.108377456665039,-60.948970794677734,0.3801124095916748,0.0009304940449547502,0.0,0.013861498786407767,0.0008698857123796118,0.0,0.01576484754247573,0.0015434079450833615,0.0,0.015167532615291263,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00110_V02,5.0,2017-03-27 09:12:10.331,2,True,True,0.0007545417649683845,0.0,0.015350045509708738,2961.0,False,16.939188294400886,0.5908620999640417,-40.65217971801758,165.45639038085938,13.105300903320312,-79.90355682373047,-3.8224642276763916,0.0005065778236286575,0.0,0.015321601941747573,0.0006033847982387967,0.0,0.01508694250606796,0.0011069518044623803,0.0,0.01571270100121359,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00111_V02,5.0,2017-03-27 09:34:13.064,2,True,True,0.0011301813375194287,0.0,0.05250919675364078,3338.0,False,44.165870659032144,0.40174237170596394,-67.47314453125,179.38670349121094,24.668359756469727,-89.89484405517578,-14.895501136779785,0.0010958078345953963,0.0,0.07069411787014562,0.0011200187146917333,0.0,0.04572777609223301,0.0011301813375194287,0.0,0.05637278140169903,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00112_V02,5.0,2017-03-27 09:47:15.036,2,True,True,0.0013989285716435032,0.0,0.11869974969660194,3626.0,False,60.13771241067982,0.3448793149946063,-73.0429916381836,232.2591552734375,33.682090759277344,-89.95736694335938,-19.40043067932129,0.0013989285716435032,0.0,0.1213284094356796,0.0011761134549930852,0.0,0.08529989001820389,0.0014475885124705218,0.0,0.11161967157160194,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
JNCR_2017086_05C00113_V02,5.0,2017-03-27 10:01:47.573,2,True,True,0.0013301137681951147,0.0,0.15500559390169902,3884.0,False,77.80788674476582,0.31508899676375407,-65.8203353881836,212.58773803710938,37.22816467285156,-89.5727767944336,-21.50551986694336,0.001485106639007009,0.0,0.21267018734830095,0.0013071584581852399,0.0,0.15023418537621358,0.0012900285863218473,0.0,0.18044125455097088,True,Verified exact native product; normal-operation evidence; label and errata audit; determined archive timing; clean overall and every RGB band; finite on-planet geometry
