product_id,orbit,version,volume,file_spec,url_lbl,url_img,label_md5,image_md5,image_bytes,start_time,stop_time,sampling_factor,samples,lines,software_name,timing_state,offset_px,selected,selection_reason
JNCR_2017139_06C00108_V01,6,1,JNOJNC_0004,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00108_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0004/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00108_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0004/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00108_V01.IMG,4f1a7cef836608c6a9d6b30205d488ae,52ce8dd4a0c298df2d35dd2410c1b9c3,40501248,2017-05-19T05:28:53.082,2017-05-19T05:29:05.018,1,1648,12288,JUNOMAKEPDS.PY 0.5,no_shift_needed,0.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00109_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00109_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00109_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00109_V02.IMG,cc0ce40074b10a669c679a2b0f3668b4,e3b33a7ef8a5b5a683391b4b023ecedc,43032576,2017-05-19T05:35:55.933,2017-05-19T05:36:08.615,1,1648,13056,JUNOMAKEPDS.PY 0.7,applied,-2.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00110_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00110_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00110_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00110_V02.IMG,63e6696633ed2e9c9c959515c0f33dea,89cb1c123aed24e122c387135e084902,48095232,2017-05-19T05:43:58.335,2017-05-19T05:44:12.509,1,1648,14592,JUNOMAKEPDS.PY 0.7,applied,-3.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00111_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00111_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00111_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00111_V02.IMG,131160535f4f4eaf77da7770671bb9c5,763550cfa52aa49913cafa676aae14df,48095232,2017-05-19T05:46:59.623,2017-05-19T05:47:13.797,1,1648,14592,JUNOMAKEPDS.PY 0.7,applied,-2.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00112_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00112_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00112_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00112_V02.IMG,7475462dfc4986d62a1ccb9a09f4dc32,bb2d0b7be7f1b9ed50316c281bda986d,50626560,2017-05-19T05:50:30.604,2017-05-19T05:50:45.524,1,1648,15360,JUNOMAKEPDS.PY 0.7,applied,-5.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00113_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00113_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00113_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00113_V02.IMG,bd50e8426fdf0009da6b44d74255bee5,624ffbfc211faca3bf7301f943c1a9d7,53157888,2017-05-19T05:55:32.037,2017-05-19T05:55:47.703,1,1648,16128,JUNOMAKEPDS.PY 0.7,applied,1.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00114_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00114_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00114_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00114_V02.IMG,a3f74fdb0e9ec9f52e062923f1a628d4,9f4e560f625413bf6f3f6d5a0c23abbe,53157888,2017-05-19T05:59:03.259,2017-05-19T05:59:18.925,1,1648,16128,JUNOMAKEPDS.PY 0.7,applied,-6.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06C00115_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00115_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00115_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00115_V02.IMG,ab967c4b590b0a49c978d69b452ba4c0,5788c75611afa10936924c90d8f64efc,53157888,2017-05-19T06:03:04.775,2017-05-19T06:03:20.441,1,1648,16128,JUNOMAKEPDS.PY 0.7,applied,-7.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
JNCR_2017139_06M00116_V01,6,1,JNOJNC_0004,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06M00116_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0004/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06M00116_V01.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0004/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06M00116_V01.IMG,11f0b5d45e253f845f3af70408210526,3e004696ac5e353f7e214756f9cb8ed4,17719296,2017-05-19T06:04:35.255,2017-05-19T06:04:50.921,1,1648,5376,JUNOMAKEPDS.PY 0.5,no_shift_needed,0.0,False,outside full RGB scope
JNCR_2017139_06C00117_V02,6,2,JNOJNC_0012,DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00117_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00117_V02.LBL,https://planetarydata.jpl.nasa.gov/img/data/juno/JNOJNC_0012/DATA/RDR/JUPITER/ORBIT_06/JNCR_2017139_06C00117_V02.IMG,959a1799d844ca2e92812ee789c0d9c6,81913ccbe51f089130f905e6ca5afd9a,50626560,2017-05-19T06:10:37.973,2017-05-19T06:10:52.893,1,1648,15360,JUNOMAKEPDS.PY 0.7,applied,4.0,True,full RGB; finite archive timing; individual signal and geometry assessment pending
