product_id,cache_present,refined,fitted_offset_s,limb_points,median_absolute_residual_detector_px,reason
JNCR_2017086_05C00104_V02,True,False,,191,,only 191 candidate limb points
JNCR_2017086_05C00105_V02,True,True,-0.004335128872712128,224,0.21276793990559995,
JNCR_2017086_05C00106_V02,True,True,-0.025987933842849028,813,0.33519927236210023,
JNCR_2017086_05C00107_V02,True,True,0.004615162454784747,1065,1.6789072165441539,
JNCR_2017086_05C00108_V02,True,True,-0.013425436991245291,1003,0.6708352192778051,
JNCR_2017086_05C00109_V02,True,True,-0.009640161195426215,722,1.7997797355154148,
JNCR_2017086_05C00110_V02,True,True,-0.0018761111575715612,431,0.9399016627953216,
JNCR_2017086_05C00111_V02,True,False,,109,,only 109 candidate limb points
JNCR_2017139_06C00106_V02,True,True,-0.008173886323711393,205,0.46893791388211525,
JNCR_2017139_06C00107_V02,True,False,,198,,only 198 candidate limb points
JNCR_2017139_06C00108_V01,True,True,-0.01127950633885325,353,0.6771681533355434,
JNCR_2017139_06C00109_V02,True,True,-0.015258280580888819,465,0.5250059295259177,
JNCR_2017139_06C00110_V02,True,True,-0.021102951893243842,571,0.6080436966031257,
JNCR_2017139_06C00111_V02,True,True,-0.02242920997392236,593,0.43339903940813684,
JNCR_2017139_06C00112_V02,True,True,-0.031379501301419234,721,0.4603717469487947,
JNCR_2017139_06C00113_V02,True,True,-0.0044751456637484215,763,1.6031732494038806,
JNCR_2017139_06C00114_V02,True,True,-0.02722765678767144,647,0.4710561340077426,
JNCR_2017139_06C00115_V02,True,True,-0.0034289211651424905,629,1.649685264244951,
JNCR_2017139_06C00117_V02,True,True,-0.004335128872712128,537,1.4187242565168106,
JNCR_2017139_06C00118_V02,True,True,-0.01585140122570993,596,0.6559228193388371,
JNCR_2017139_06C00119_V01,True,True,-0.0060279556713193514,525,1.2079433710035374,
JNCR_2017139_06C00121_V02,True,True,0.0001832843589643651,496,1.1283225163848556,
JNCR_2017139_06C00122_V02,True,True,-0.0048417143816771166,369,1.1567293958479041,
JNCR_2017139_06C00123_V02,True,True,-0.0005498530768930755,238,0.7463693347755509,
JNCR_2017139_06C00124_V02,True,True,0.0012829905127504427,226,0.5577636799100318,
JNCR_2017244_08C00107_V02,True,True,-0.0024692318023926737,361,0.6875008181005171,
JNCR_2017244_08C00108_V02,True,True,-0.02434858869942198,461,0.4804744086640653,
JNCR_2017244_08C00109_V02,True,True,-0.01791079674224585,471,0.44131062279021904,
JNCR_2017244_08C00110_V02,True,True,-0.031152949374526832,573,0.3762059631967247,
JNCR_2017244_08C00111_V02,True,True,-0.003515456300998598,556,1.2668883880946638,
JNCR_2017244_08C00112_V02,True,True,-0.0007764050037854424,535,1.2369192791110493,
JNCR_2017244_08C00113_V02,True,True,-0.000636388212749153,439,1.3423763166962033,
JNCR_2017244_08C00114_V02,True,True,4.326756792807655e-05,400,1.5777403172539834,
JNCR_2017244_08C00116_V02,True,True,-0.013198885064352885,340,0.4910031274901172,
JNCR_2017244_08C00117_V02,True,True,-0.0060279556713193514,358,0.4150154268476953,
JNCR_2017244_08C00118_V02,True,True,-0.00868047183267638,328,1.348193164962499,
JNCR_2017244_08C00119_V02,True,True,-0.012972333137460467,309,1.683613450981781,
JNCR_2017244_08C00120_V02,True,True,0.0005498530768930684,329,2.011455530119946,
JNCR_2017244_08C00121_V01,True,True,-0.0004098362858567415,329,1.3678552473363084,
JNCR_2017244_08C00122_V02,True,True,0.0011429737217141835,255,1.263087644252451,
JNCR_2017244_08C00123_V02,True,True,0.001962646293427673,262,1.0950139032143227,
JNCR_2018091_12C00082_V02,True,True,-0.02612795063388532,288,0.15590326885181938,
JNCR_2018091_12C00084_V02,True,True,-0.004755179245821008,311,0.3886996931293041,
JNCR_2018091_12C00085_V02,True,True,0.004615162454784717,423,1.1161857060107323,
JNCR_2018091_12C00086_V02,True,True,0.0005498530768930684,389,2.556117198222765,
JNCR_2018091_12C00087_V02,True,True,0.01288579800160439,414,3.6262805663995223,
JNCR_2018091_12C00088_V02,True,True,-0.0013695256486065594,476,1.7042328048574227,
JNCR_2018091_12C00089_V02,True,True,0.003148887583069929,454,1.2710623220114532,
JNCR_2018091_12C00090_V02,True,True,-0.013705470573317894,574,1.4389840624476342,
JNCR_2018091_12C00091_V02,True,True,-0.005068266308569529,709,0.9269844754489185,
JNCR_2018091_12C00092_V02,True,True,-0.006987645034069166,720,0.5971963804038438,
JNCR_2018091_12C00093_V02,True,True,-0.0075807656788902745,947,1.476565444146031,
JNCR_2018091_12C00094_V02,True,True,-0.0009164217948217441,975,1.2124510209266433,
JNCR_2018091_12C00099_V02,True,True,0.00018328435896433734,826,0.9405110368257648,
JNCR_2018091_12C00100_V02,True,True,-0.006987645034069162,411,0.36655079619812625,
JNCR_2019043_18C00019_V02,True,False,,96,,only 96 candidate limb points
JNCR_2019043_18C00020_V02,True,True,-0.0004098362858567415,259,0.2931993383642748,
JNCR_2019043_18C00022_V02,True,True,-0.0005498530768930406,300,0.5053694359931029,
JNCR_2019043_18C00023_V02,True,True,-0.005294818235461949,378,0.5799551663673519,
JNCR_2019043_18C00024_V02,True,True,-0.0012829905127504475,397,0.5172707377459034,
JNCR_2019043_18C00025_V02,True,True,-0.002555766938248786,407,0.7264827579492454,
JNCR_2019043_18C00026_V02,True,True,-0.003288904374106203,372,1.1679665086054385,
JNCR_2019043_18C00027_V02,True,True,-0.007720782469926577,319,0.8657305873612557,
